user_id,item_id,rating
0,0,4
0,1,4
0,2,4
0,3,4
0,4,4
0,5,4
0,6,4
0,7,3
0,8,4
0,9,4
0,10,4
0,11,3
0,12,3
0,13,4
0,14,5
0,15,4
1,16,2
1,17,3
1,18,3
1,19,5
1,20,4
1,21,4
1,22,4
1,23,4
1,24,4
1,25,3
2,26,5
2,27,4
2,28,2
2,29,4
2,30,5
2,31,4
2,32,4
2,33,5
2,34,5
2,35,5
2,36,5
2,37,4
2,38,4
2,39,5
2,40,5
2,4,5
2,41,5
2,42,1
2,43,4
2,44,3
2,45,2
2,46,4
2,47,4
2,48,3
2,49,4
2,50,5
2,51,5
2,52,4
2,53,5
2,54,5
2,55,3
2,56,5
2,57,3
2,58,4
2,59,4
2,60,3
2,61,3
2,62,3
2,63,4
2,64,4
2,65,4
2,66,4
2,67,2
2,68,4
2,69,5
2,70,3
2,71,4
2,72,3
2,73,3
2,74,4
2,75,4
2,76,4
2,77,3
2,78,4
2,79,3
2,80,5
2,81,5
2,82,4
2,15,5
2,83,3
2,84,5
2,85,3
2,86,4
2,87,5
2,88,4
2,89,4
2,90,5
2,91,3
2,92,4
2,93,4
2,94,2
2,95,1
2,96,3
2,97,5
2,98,3
2,99,4
2,100,5
2,101,5
2,102,5
2,103,1
2,104,3
2,105,4
2,106,4
2,107,4
2,108,3
2,109,3
2,110,4
2,111,3
2,112,4
1,113,3
1,114,3
1,115,3
1,116,5
1,117,3
1,118,4
1,11,5
3,119,5
3,1,5
3,120,4
3,121,4
3,122,5
3,123,3
3,124,5
3,125,5
3,29,5
3,126,4
3,127,4
3,128,5
3,129,4
3,130,5
3,131,4
3,2,4
3,132,5
3,133,4
3,134,4
3,135,5
3,136,4
3,137,5
3,138,2
3,139,5
3,140,4
3,141,5
3,142,5
3,24,4
3,143,5
3,144,4
3,145,3
3,116,5
3,40,4
3,146,4
3,147,4
3,148,4
3,149,4
3,9,5
3,150,4
3,151,4
3,152,4
3,153,5
3,154,4
3,155,4
3,20,3
3,156,4
3,157,2
3,11,4
3,158,3
3,159,2
3,0,3
3,160,4
3,161,3
3,25,3
3,162,3
3,163,2
4,164,4
4,165,4
4,166,5
4,167,4
4,168,5
4,169,4
4,170,5
4,171,5
4,172,5
4,173,4
4,174,4
4,175,5
4,176,5
4,177,4
4,178,5
4,179,5
4,180,4
4,181,5
4,182,5
4,183,5
4,184,5
4,185,4
4,186,5
4,187,4
4,68,4
4,101,5
4,188,5
4,189,5
4,190,5
4,191,5
4,39,5
4,192,4
4,193,5
4,194,5
4,14,5
4,195,4
4,196,5
4,197,5
4,198,5
4,42,5
4,34,4
4,58,5
4,199,5
4,200,4
4,201,3
4,202,4
4,203,4
4,204,4
4,60,4
4,38,5
4,205,4
4,206,4
4,207,4
4,208,4
4,209,5
4,100,4
4,33,5
4,210,3
4,112,4
4,211,3
4,212,3
4,213,5
4,214,3
4,215,4
4,216,3
4,217,3
4,218,3
3,219,3
3,220,3
5,221,3
5,222,3
5,223,3
5,224,2
3,225,3
5,125,4
5,226,3
3,227,2
3,228,3
5,229,5
3,230,3
3,231,3
5,232,4
5,40,3
5,233,3
5,234,4
3,165,5
3,235,5
3,236,5
3,168,4
5,237,4
3,39,5
3,238,5
3,239,5
3,182,4
3,50,4
3,240,5
3,241,4
3,56,2
3,242,5
3,15,5
3,175,4
3,107,4
3,97,5
3,202,4
3,243,4
3,169,5
3,244,5
3,245,5
3,246,5
3,187,3
3,247,4
3,166,3
3,100,4
3,248,4
3,33,5
3,249,5
3,250,5
3,251,5
3,252,4
3,253,5
3,254,3
3,255,5
3,256,5
3,90,5
3,41,4
3,257,5
5,29,3
5,258,4
5,142,4
5,259,3
5,138,3
5,132,3
6,121,2
6,260,4
6,40,4
6,157,4
6,137,4
6,234,4
6,29,4
6,261,5
6,248,5
6,226,4
6,262,5
6,153,3
6,263,4
6,264,5
6,125,5
6,265,4
6,266,5
6,11,4
6,267,5
6,160,3
6,268,3
6,128,1
6,146,2
6,148,3
6,58,3
6,269,5
6,270,5
6,168,4
6,14,3
6,271,5
6,171,4
6,272,4
6,273,4
6,274,4
6,122,5
6,94,4
6,275,3
6,276,4
6,176,5
6,70,5
6,39,4
6,250,3
6,241,5
6,79,4
6,179,4
6,277,4
6,45,2
6,50,4
6,238,3
6,194,3
6,278,5
6,279,3
6,257,4
6,3,4
6,280,5
6,281,3
6,96,4
6,282,3
6,283,3
6,13,3
6,284,4
6,285,5
6,189,5
6,286,4
6,41,4
6,287,4
6,93,4
6,288,3
6,289,4
6,290,3
6,291,4
6,38,4
6,190,5
6,292,5
6,239,4
6,111,4
6,293,3
6,294,4
6,172,4
6,49,4
6,295,3
6,184,3
6,296,4
6,110,4
6,297,3
7,298,5
7,119,4
7,299,4
7,300,4
7,7,4
7,121,3
7,120,3
7,301,3
7,302,4
7,303,3
7,304,3
6,305,4
7,306,3
8,68,4
6,33,4
7,261,4
7,307,5
7,2,5
7,264,5
6,48,3
7,40,5
6,308,4
6,187,2
7,137,5
7,309,4
7,136,4
7,232,5
7,268,5
7,9,4
7,160,3
7,266,5
7,138,4
7,18,4
7,310,4
7,125,5
7,311,3
7,312,4
7,17,2
7,313,4
7,155,4
7,314,4
5,14,4
5,315,4
7,23,4
7,316,4
7,153,4
7,317,4
7,318,4
7,319,4
5,320,3
7,321,4
7,139,3
7,126,4
7,128,4
6,322,4
7,152,5
7,132,5
7,116,4
6,242,5
6,46,5
7,323,3
7,324,4
7,157,4
6,251,3
7,115,4
7,325,4
7,145,3
7,326,2
7,20,4
7,327,3
7,124,4
7,22,4
7,141,4
7,328,4
6,212,3
7,329,3
7,24,4
6,108,3
7,330,3
7,5,3
7,331,3
7,332,4
6,92,2
7,333,2
6,334,3
7,335,3
6,336,4
6,60,4
7,219,3
7,220,3
6,81,3
6,204,2
7,11,3
7,337,3
6,338,3
7,339,3
7,340,3
6,256,2
7,225,2
7,341,3
7,146,3
6,57,2
6,342,3
6,343,2
7,148,3
7,344,3
7,345,3
6,346,3
7,347,2
7,161,2
7,348,3
7,230,2
6,349,4
6,73,3
7,350,3
7,351,2
6,352,2
6,353,4
7,354,2
6,355,4
6,97,3
6,356,4
7,282,3
7,357,5
7,194,5
7,170,5
6,358,2
7,176,5
9,213,4
7,359,3
7,177,4
7,166,5
7,360,3
6,65,3
7,361,4
7,175,5
7,362,4
7,251,4
7,363,5
6,56,3
7,254,5
7,364,4
7,365,4
7,183,5
7,202,5
7,366,4
7,165,5
7,14,5
7,180,4
7,367,4
7,368,3
7,295,3
7,369,5
7,35,3
7,182,5
6,4,5
6,370,3
6,371,3
6,372,5
6,98,4
6,47,2
6,84,3
6,373,1
6,374,3
6,375,3
6,376,1
6,377,3
9,371,4
9,293,4
1,378,3
9,379,5
6,380,4
1,381,3
1,382,2
1,150,4
9,383,3
6,384,5
6,385,4
6,80,3
9,112,3
9,352,4
9,386,2
9,387,3
9,159,3
9,388,2
9,163,2
9,389,4
7,390,5
7,391,5
7,392,3
7,393,4
9,394,4
7,6,4
7,187,4
7,395,3
7,396,3
7,397,3
7,191,4
7,87,4
7,398,4
7,48,5
9,399,3
7,247,4
7,400,5
7,401,3
7,62,4
7,54,3
9,402,4
7,403,3
7,404,3
7,53,4
7,405,4
7,252,3
7,178,4
7,406,3
7,407,4
7,408,5
7,409,5
7,342,4
7,410,3
7,57,4
7,411,4
7,412,4
7,413,3
9,414,3
7,255,4
7,415,3
7,196,4
7,374,3
7,416,4
7,169,4
7,417,4
7,97,4
7,253,2
7,72,3
7,418,1
7,372,3
7,419,1
7,43,3
7,420,1
9,421,4
7,422,3
7,210,2
7,423,2
7,424,3
9,425,3
7,426,4
7,427,4
7,274,4
7,68,4
7,240,5
7,428,3
7,168,5
7,42,4
7,305,4
7,184,5
7,189,4
7,291,3
9,429,4
7,430,3
7,431,4
7,250,4
9,432,3
9,433,3
